transaction_amount,merchant_category,transaction_hour,day_of_week,is_weekend,customer_age,account_age_days,previous_transactions_day,average_transaction_amount,credit_limit,amount_vs_average_ratio,time_since_last_transaction,location_risk_score,is_fraud
47.54,18,6,2,0,18,211,2,36.47,500.0,1.3,23.5,21.7,0
2.21,3,3,3,0,26,261,1,17.29,500.0,0.13,3.1,30.4,0
39.09,12,1,4,0,35,254,2,13.17,500.0,2.97,3.8,45.2,0
54.48,18,10,3,0,51,1534,1,42.2,628.56,1.29,7.0,13.1,0
1.32,7,12,4,0,59,70,1,23.8,500.0,0.06,6.6,21.8,0
3.22,0,12,6,1,23,316,0,25.85,500.0,0.12,13.9,16.2,0
6.16,17,22,6,1,48,34,0,10.0,500.0,0.62,12.5,35.3,0
88.61,2,6,3,0,47,604,0,18.01,500.0,4.92,20.9,14.8,0
92.39,0,3,0,0,50,381,1,10.0,500.0,9.24,5.3,11.9,0
11.05,6,5,5,1,33,526,0,29.55,500.0,0.37,4.9,32.1,0
30.3,16,19,3,0,55,688,1,133.52,2665.79,0.23,20.6,33.9,0
3.89,11,10,6,1,35,382,2,16.01,500.0,0.24,6.2,8.5,0
14.18,3,0,1,0,42,114,1,34.85,651.5,0.41,10.9,7.8,0
74.27,4,22,0,0,36,669,1,10.0,500.0,7.43,9.2,21.7,0
89.6,12,18,6,1,51,8,1,37.3,500.0,2.4,6.2,6.4,0
181.35,0,8,6,1,38,354,2,10.0,500.0,18.13,7.8,22.6,0
5.96,1,16,4,0,60,251,4,10.0,500.0,0.6,1.6,35.1,0
15.48,4,22,5,1,49,358,1,10.0,500.0,1.55,5.0,29.3,0
4.29,4,11,2,0,57,799,1,10.0,500.0,0.43,8.2,8.9,0
24.24,15,11,5,1,53,1987,2,22.58,500.0,1.07,4.9,18.8,0
12.02,15,3,5,1,56,297,0,18.87,500.0,0.64,4.2,25.0,0
25.72,3,15,2,0,42,694,2,21.78,500.0,1.18,4.9,51.5,0
12.36,2,7,1,0,33,465,7,13.74,500.0,0.9,2.0,17.4,0
952.67,9,13,4,0,56,268,4,10.0,500.0,95.27,8.3,15.3,0
37.98,1,15,5,1,38,167,2,17.96,500.0,2.11,6.1,32.5,0
6.72,16,19,5,1,20,291,2,10.0,500.0,0.67,43.6,8.2,0
12.06,0,5,6,1,19,566,1,25.13,500.0,0.48,23.2,14.3,0
28.08,8,22,5,1,39,1225,2,10.0,500.0,2.81,7.5,16.4,0
5.4,17,4,3,0,41,344,0,29.51,500.0,0.18,18.5,25.6,0
11.82,12,12,1,0,56,508,1,10.0,500.0,1.18,38.9,4.8,0
2.32,10,20,2,0,75,818,2,39.1,590.55,0.06,10.6,12.7,0
8.96,18,22,0,0,19,85,2,10.0,500.0,0.9,2.6,4.3,0
5.24,2,14,3,0,39,265,1,33.25,500.0,0.16,10.0,18.5,0
1.06,2,0,2,0,33,493,2,12.32,500.0,0.09,14.6,30.4,0
14.86,18,8,2,0,45,33,2,65.77,500.0,0.23,27.7,24.7,0
6.03,0,10,5,1,32,21,0,19.98,500.0,0.3,10.8,28.6,0
1.0,5,2,5,1,22,99,2,10.0,500.0,0.1,33.0,40.5,0
72.82,9,17,6,1,18,843,2,10.0,500.0,7.28,0.5,22.4,0
75.56,7,14,3,0,22,654,4,47.1,709.65,1.6,10.6,3.3,0
6.44,17,2,2,0,37,85,3,10.0,500.0,0.64,21.6,40.8,0
52.42,16,17,2,0,37,404,0,54.4,509.75,0.96,22.0,33.8,0
4.53,15,2,1,0,33,161,5,32.73,500.0,0.14,5.8,21.1,0
7.11,13,22,6,1,54,299,2,12.77,500.0,0.56,1.4,56.7,0
12.21,2,6,5,1,66,52,3,15.63,500.0,0.78,9.9,13.9,0
143.75,10,20,2,0,34,468,1,10.0,500.0,14.38,36.8,35.4,0
20.32,13,1,3,0,33,399,1,26.18,500.0,0.78,4.2,13.8,0
61.94,4,22,5,1,37,286,2,25.14,500.0,2.46,4.4,11.9,0
1.62,17,10,1,0,38,211,2,15.31,500.0,0.11,30.1,4.4,0
8.91,14,13,5,1,58,141,2,15.76,500.0,0.57,17.5,32.3,0
63.0,17,9,0,0,36,113,2,10.0,500.0,6.3,16.1,5.1,0
16.3,6,3,3,0,55,362,0,36.01,500.0,0.45,2.2,6.7,0
14.74,5,2,4,0,38,393,1,35.59,555.15,0.41,0.7,23.2,0
10.78,4,8,6,1,26,213,1,25.58,500.0,0.42,8.8,6.8,0
73.59,6,14,4,0,47,1151,1,10.0,500.0,7.36,29.6,24.5,0
20.63,4,7,3,0,31,247,3,10.0,500.0,2.06,15.5,14.5,0
2.76,9,12,3,0,45,476,0,10.0,500.0,0.28,31.1,16.8,0
6.84,19,6,4,0,54,101,2,10.43,500.0,0.66,12.4,24.3,0
587.34,13,18,3,0,36,377,0,179.81,2903.83,3.27,3.0,22.6,0
17.54,5,1,6,1,21,2305,1,10.0,500.0,1.75,10.7,9.6,0
1.0,7,14,1,0,54,257,4,28.74,500.0,0.03,0.2,24.7,0
30.0,12,1,6,1,41,33,5,10.0,500.0,3.0,0.9,4.5,0
60.3,19,21,3,0,59,9,4,190.84,2296.33,0.32,25.5,22.1,0
140.3,19,14,2,0,62,118,3,22.29,500.0,6.29,5.8,5.4,0
13.15,5,6,0,0,55,483,1,10.0,500.0,1.32,14.9,13.4,0
450.9,4,14,3,0,26,532,3,10.0,500.0,45.09,0.5,8.5,0
42.6,18,15,4,0,47,322,2,15.15,500.0,2.81,0.3,19.6,0
534.21,4,12,5,1,33,306,4,34.57,500.0,15.45,2.3,9.9,0
17.09,12,21,6,1,44,285,3,19.95,500.0,0.86,6.7,51.6,0
115.84,12,21,4,0,40,529,4,29.14,500.0,3.98,0.7,38.4,0
412.76,0,1,5,1,24,12,2,10.0,500.0,41.28,12.2,5.4,0
15.24,10,7,0,0,34,569,3,44.79,500.0,0.34,0.9,4.2,0
3.68,1,21,2,0,36,88,3,13.06,500.0,0.28,1.4,17.8,0
2.13,1,7,6,1,65,53,2,10.0,500.0,0.21,0.7,11.0,0
12.2,0,5,5,1,53,344,5,10.0,500.0,1.22,20.1,8.7,0
4.49,10,6,4,0,48,137,3,62.52,500.0,0.07,12.4,19.2,0
7.03,14,6,2,0,51,94,0,21.22,500.0,0.33,0.2,47.3,0
10.78,2,4,1,0,37,280,1,101.81,1538.84,0.11,0.2,10.3,0
17.38,7,9,1,0,30,70,2,11.98,500.0,1.45,2.6,21.1,0
13.28,2,23,2,0,40,216,2,14.91,500.0,0.89,0.3,25.2,0
2.13,0,19,0,0,41,97,6,87.8,589.43,0.02,10.9,12.0,0
1.89,5,15,5,1,69,743,4,54.55,500.0,0.03,2.6,14.9,0
405.32,7,5,0,0,80,284,1,93.79,500.0,4.32,17.3,18.3,0
101.09,4,20,2,0,37,1972,1,30.09,500.0,3.36,13.5,5.8,0
20.32,3,3,1,0,38,208,0,25.5,500.0,0.8,4.0,37.4,0
265.53,19,11,5,1,20,894,1,10.77,500.0,24.65,35.3,14.3,0
16.69,4,4,1,0,62,197,3,10.0,500.0,1.67,28.4,15.9,0
4.53,1,16,4,0,43,211,3,12.53,500.0,0.36,37.8,15.7,0
157.98,15,10,2,0,29,443,5,20.13,500.0,7.85,1.5,58.2,0
96.3,8,16,0,0,61,675,0,43.28,547.44,2.23,4.8,6.7,0
173.64,11,7,6,1,46,385,2,37.46,500.0,4.64,26.7,19.6,0
5.85,17,15,4,0,19,100,2,10.0,500.0,0.58,15.6,21.3,0
7.25,11,12,0,0,18,562,1,57.95,863.85,0.13,1.7,40.3,0
16.97,5,19,0,0,30,37,4,10.0,500.0,1.7,13.5,17.1,0
6.5,6,11,4,0,47,142,1,22.64,500.0,0.29,5.9,17.5,0
8.55,12,23,5,1,57,452,1,10.0,500.0,0.86,2.4,42.5,0
20.76,8,17,2,0,26,423,4,10.0,500.0,2.08,2.9,25.2,0
5.96,3,1,0,0,58,3,5,15.93,500.0,0.37,24.1,18.0,0
15.0,16,13,4,0,39,40,1,20.0,500.0,0.75,0.5,36.0,0
14.83,14,9,1,0,18,46,1,10.0,500.0,1.48,1.4,3.7,0
10.96,17,6,1,0,46,5,4,23.75,500.0,0.46,0.4,4.8,0
737.73,4,17,6,1,24,20,1,13.0,500.0,56.75,6.8,10.4,0
38.61,12,2,5,1,52,249,0,10.0,500.0,3.86,11.6,18.6,0
43.14,11,15,3,0,30,436,1,16.32,500.0,2.64,21.5,17.3,0
22.33,19,18,1,0,32,66,3,27.73,530.46,0.81,3.1,38.8,0
12.85,13,16,5,1,31,65,0,29.42,521.64,0.44,15.4,24.5,0
2.12,6,14,3,0,46,112,1,10.0,500.0,0.21,4.9,33.7,0
2.24,10,11,1,0,39,216,6,10.0,500.0,0.22,7.0,8.7,0
20.25,7,2,5,1,24,1717,2,25.18,500.0,0.8,17.5,11.9,0
60.92,15,2,5,1,45,10,3,16.65,500.0,3.66,7.2,3.1,0
3.06,10,3,2,0,18,1132,0,13.41,500.0,0.23,1.0,27.3,0
13.52,9,3,4,0,48,1090,1,10.0,500.0,1.35,21.5,6.3,0
99.96,8,2,4,0,51,60,1,10.0,500.0,10.0,29.7,9.9,0
29.66,8,18,1,0,22,383,0,10.0,500.0,2.97,3.4,25.2,0
21.59,18,12,5,1,36,139,3,16.04,500.0,1.35,24.3,17.6,0
11.82,7,2,4,0,44,751,2,10.22,500.0,1.16,2.9,11.4,0
29.32,3,5,2,0,18,293,1,16.44,500.0,1.78,3.2,23.1,0
9.99,3,16,5,1,66,198,1,10.0,500.0,1.0,3.4,19.2,0
8.23,11,4,5,1,50,173,1,16.2,500.0,0.51,4.6,18.3,0
80.48,12,2,5,1,42,199,4,10.77,500.0,7.47,5.0,15.3,0
40.81,1,9,0,0,25,333,2,29.98,500.0,1.36,1.3,10.6,0
1085.82,15,13,5,1,19,2,2,10.0,500.0,108.58,9.0,26.6,0
63.27,10,1,4,0,37,99,2,10.0,500.0,6.33,13.1,9.0,0
39.92,1,9,6,1,28,153,2,18.65,500.0,2.14,1.7,8.9,0
3.16,16,20,6,1,40,1410,1,10.0,500.0,0.32,0.8,11.1,0
2.04,7,20,5,1,45,12,5,33.88,606.88,0.06,3.0,34.5,0
405.67,7,12,0,0,18,266,3,19.1,500.0,21.24,17.7,13.9,0
25.4,4,12,6,1,72,710,3,10.0,500.0,2.54,25.4,23.3,0
10.5,6,2,0,0,56,263,2,32.9,500.0,0.32,12.4,16.5,0
1.0,18,23,4,0,72,25,3,17.16,500.0,0.06,34.6,33.8,0
1341.45,12,19,0,0,51,193,1,20.1,500.0,66.74,19.5,12.6,0
22.65,9,17,6,1,18,2476,0,14.56,500.0,1.56,9.9,46.4,0
41.46,6,12,5,1,22,60,1,29.86,500.0,1.39,3.0,3.3,0
27.02,5,5,6,1,37,924,2,38.07,572.89,0.71,6.1,36.7,0
39.81,14,16,1,0,52,942,1,10.0,500.0,3.98,3.4,12.4,0
29.33,1,2,1,0,57,85,5,30.57,519.53,0.96,8.3,18.8,0
2.62,9,9,1,0,18,62,2,37.83,618.24,0.07,0.8,29.0,0
71.62,15,4,0,0,19,212,2,10.17,500.0,7.04,12.7,3.3,0
71.68,1,7,5,1,33,64,2,13.08,500.0,5.48,4.7,48.8,0
138.32,11,4,2,0,23,272,3,14.9,500.0,9.28,35.5,3.2,0
10.14,2,8,2,0,24,58,3,13.49,500.0,0.75,4.6,8.6,0
33.12,9,13,6,1,54,774,3,10.0,500.0,3.31,5.1,13.1,0
40.13,9,16,0,0,35,228,6,13.2,500.0,3.04,9.5,17.1,0
1726.45,17,23,6,1,30,175,1,13.07,500.0,132.09,10.0,19.2,0
2661.24,12,21,0,0,33,453,1,10.0,500.0,266.12,5.6,7.7,0
33.41,14,1,2,0,28,306,2,79.66,973.66,0.42,4.0,5.2,0
4.48,8,17,2,0,24,452,3,17.31,500.0,0.26,4.3,23.4,0
8.11,15,7,6,1,38,1101,1,27.54,500.0,0.29,1.1,44.5,0
14.31,4,21,0,0,51,377,3,10.0,500.0,1.43,7.2,7.3,0
121.6,6,18,0,0,28,428,2,32.17,559.26,3.78,14.1,37.9,0
154.34,13,4,0,0,18,93,3,10.0,500.0,15.43,20.3,8.2,0
89.63,7,22,6,1,38,423,1,15.6,500.0,5.75,0.3,26.2,0
64.85,2,4,0,0,30,724,1,19.97,500.0,3.25,0.6,4.8,0
99.92,15,7,4,0,69,360,1,10.0,500.0,9.99,30.9,31.9,0
2.28,10,21,0,0,52,389,2,12.81,500.0,0.18,4.9,54.3,0
3.16,0,12,1,0,18,865,4,10.0,500.0,0.32,6.6,17.9,0
3.3,17,1,3,0,35,328,1,10.0,500.0,0.33,13.7,18.7,0
26.51,9,4,1,0,65,135,4,10.0,500.0,2.65,30.9,20.0,0
34.9,12,0,3,0,52,187,3,24.51,500.0,1.42,40.9,30.0,0
1.97,13,4,6,1,46,130,1,123.49,1729.75,0.02,17.6,11.8,0
23.29,4,9,6,1,43,614,4,17.28,500.0,1.35,7.4,32.4,0
45.41,13,0,2,0,19,399,2,10.0,500.0,4.54,20.3,27.6,0
13.77,8,1,3,0,76,169,4,16.09,500.0,0.86,0.4,17.0,0
306.27,8,11,4,0,67,349,1,10.0,500.0,30.63,15.9,13.8,0
493.81,4,2,2,0,50,426,3,25.73,500.0,19.19,2.8,18.7,0
5.88,12,4,4,0,26,190,1,12.15,500.0,0.48,0.2,31.3,0
12.69,13,13,0,0,45,330,2,18.1,500.0,0.7,3.4,3.9,0
57.74,12,18,1,0,38,1033,2,33.02,500.0,1.75,7.5,8.7,0
20.42,18,1,4,0,46,108,0,10.0,500.0,2.04,10.2,18.7,0
3.48,0,22,2,0,41,97,1,10.0,500.0,0.35,16.3,10.5,0
154.53,11,13,5,1,19,150,3,10.0,500.0,15.45,7.9,23.6,0
24.11,14,23,0,0,29,122,1,41.2,500.0,0.59,4.5,10.4,0
23.13,17,3,6,1,58,928,3,15.38,500.0,1.5,11.1,13.3,0
4.45,5,6,4,0,18,800,1,10.76,500.0,0.41,15.2,19.7,0
3.84,1,5,0,0,18,455,1,13.19,500.0,0.29,13.9,16.6,0
33.62,17,10,0,0,54,355,0,24.03,500.0,1.4,61.7,59.5,0
467.82,4,6,3,0,77,1092,2,15.26,500.0,30.66,21.4,22.0,0
2.94,0,5,3,0,26,173,3,20.14,500.0,0.15,3.2,20.0,0
10.25,8,3,2,0,26,894,3,10.06,500.0,1.02,8.3,2.9,0
4.29,1,21,1,0,27,309,1,64.63,925.74,0.07,23.5,32.9,0
4.77,17,20,3,0,55,82,0,39.83,500.0,0.12,10.2,5.6,0
276.0,14,10,1,0,56,151,2,10.0,500.0,27.6,13.4,15.7,0
28.19,2,18,2,0,79,293,3,50.34,676.44,0.56,12.1,19.3,0
54.62,16,10,4,0,78,5,2,30.56,500.0,1.79,2.5,3.1,0
7.74,4,1,0,0,71,12,1,10.0,500.0,0.77,8.2,31.4,0
124.6,15,12,0,0,58,170,2,10.0,500.0,12.46,7.4,10.1,0
8.97,9,10,2,0,26,278,0,13.46,500.0,0.67,18.3,7.2,0
1.27,7,8,0,0,22,98,1,10.0,500.0,0.13,0.1,16.5,0
10.03,17,10,0,0,48,152,2,28.8,567.88,0.35,3.9,22.4,0
150.02,18,13,4,0,46,828,2,10.0,500.0,15.0,9.2,27.0,0
3.32,19,1,0,0,41,193,3,13.93,500.0,0.24,1.9,33.1,0
57.29,14,20,4,0,50,49,4,10.0,500.0,5.73,2.2,26.7,0
28.17,11,9,6,1,37,76,0,10.0,500.0,2.82,10.0,25.3,0
139.86,1,11,4,0,41,84,3,12.55,500.0,11.14,0.1,9.9,0
51.11,19,13,4,0,26,412,2,79.7,1089.77,0.64,0.3,42.3,0
106.39,4,5,4,0,70,249,2,10.0,500.0,10.64,15.0,6.7,0
222.36,13,19,6,1,36,246,0,10.0,500.0,22.24,33.8,13.0,0
8.44,5,15,2,0,69,447,3,14.88,500.0,0.57,7.7,19.7,0
79.3,1,3,0,0,27,795,1,23.32,500.0,3.4,7.8,29.4,0
19.51,5,19,6,1,37,205,2,10.0,500.0,1.95,0.1,23.7,0
14.88,9,12,6,1,42,1231,1,50.87,500.0,0.29,3.3,29.7,0
346.76,7,0,3,0,29,395,1,102.98,1400.02,3.37,2.4,22.8,0
661.3,12,9,6,1,18,322,1,10.0,500.0,66.13,3.3,8.6,0
21.33,15,18,6,1,46,338,2,43.6,737.57,0.49,1.4,32.0,0
13.69,4,21,0,0,38,61,2,16.35,500.0,0.84,22.2,13.2,0
607.2,9,7,2,0,60,1800,1,11.17,500.0,54.36,2.1,23.7,0
17.91,5,12,2,0,21,716,1,52.14,775.97,0.34,8.9,21.9,0
4.46,15,15,2,0,74,427,2,10.0,500.0,0.45,0.9,46.8,0
72.45,17,22,4,0,30,220,1,10.0,500.0,7.24,33.6,33.5,0
5.45,7,22,4,0,45,60,1,10.0,500.0,0.55,7.8,33.7,0
1.67,15,22,0,0,18,159,0,10.0,500.0,0.17,12.2,26.0,0
1.0,16,22,0,0,54,250,2,30.7,500.0,0.03,50.5,14.2,0
3.01,17,18,3,0,22,38,4,15.0,500.0,0.2,2.7,20.1,0
2.24,7,3,1,0,53,997,2,33.54,500.0,0.07,24.6,4.8,0
5.19,4,11,5,1,18,166,1,10.0,500.0,0.52,16.8,3.3,0
60.92,18,17,1,0,27,463,1,10.0,500.0,6.09,12.2,1.0,0
30.74,2,14,4,0,32,321,3,10.0,500.0,3.07,11.6,15.1,0
6.44,9,17,6,1,51,9,6,11.21,500.0,0.57,1.0,24.3,0
53.12,7,16,1,0,29,437,1,18.02,500.0,2.95,3.6,24.3,0
19.85,7,6,5,1,50,212,3,10.0,500.0,1.98,5.3,23.5,0
9.77,4,10,5,1,41,27,4,10.0,500.0,0.98,14.6,26.6,0
32.94,17,3,0,0,18,429,2,10.0,500.0,3.29,2.4,8.6,0
28.23,18,19,6,1,50,108,1,38.74,763.22,0.73,7.1,4.4,0
9.94,19,18,2,0,51,258,3,10.0,500.0,0.99,13.1,6.6,0
1.0,15,16,4,0,61,262,2,22.03,500.0,0.05,10.0,27.6,0
5.53,1,19,5,1,34,356,2,10.0,500.0,0.55,16.9,25.0,0
102.56,16,0,3,0,52,787,1,10.0,500.0,10.26,2.6,13.5,0
1.0,1,15,3,0,27,19,1,32.06,500.0,0.03,0.7,29.1,0
29.2,15,6,5,1,45,13,3,27.67,500.0,1.06,18.5,23.7,0
41.12,15,11,1,0,32,40,2,10.09,500.0,4.08,4.8,5.9,0
10.96,15,12,4,0,19,316,1,48.42,500.0,0.23,7.1,18.7,0
3.32,9,4,0,0,25,146,0,10.0,500.0,0.33,6.3,6.6,0
346.97,5,14,3,0,57,857,1,15.91,500.0,21.81,4.0,39.8,0
84.14,14,11,4,0,31,54,3,16.3,500.0,5.16,9.3,25.3,0
7.52,13,12,3,0,36,237,1,11.41,500.0,0.66,12.9,18.5,0
1.73,0,19,5,1,66,88,1,21.27,500.0,0.08,5.8,10.6,0
62.83,7,9,6,1,52,1088,2,10.0,500.0,6.28,2.4,23.5,0
11.74,7,3,6,1,39,640,2,20.15,500.0,0.58,30.6,20.5,0
73.78,5,3,5,1,37,340,1,35.38,500.0,2.09,22.1,35.5,0
42.71,6,17,3,0,26,193,2,14.91,500.0,2.86,1.0,23.8,0
10.17,10,16,6,1,53,510,1,10.0,500.0,1.02,1.2,14.9,0
28.11,5,19,2,0,52,187,1,15.95,500.0,1.76,7.9,25.2,0
157.77,8,9,6,1,57,128,1,17.06,500.0,9.25,17.7,14.8,0
9.68,0,14,0,0,22,374,3,11.04,500.0,0.88,7.3,10.2,0
1.56,12,14,1,0,58,46,4,15.12,500.0,0.1,6.1,16.4,0
8.75,17,16,0,0,41,1061,0,69.84,753.26,0.13,3.0,11.0,0
13.39,17,14,6,1,35,597,2,111.81,1603.32,0.12,0.2,23.9,0
3.98,17,6,3,0,53,92,1,10.0,500.0,0.4,17.4,24.3,0
52.3,10,16,5,1,50,81,1,10.0,500.0,5.23,0.9,27.4,0
34.69,1,22,3,0,40,94,0,21.98,500.0,1.58,25.4,3.3,0
71.67,14,17,1,0,43,82,1,10.0,500.0,7.17,4.4,11.5,0
32.1,1,10,4,0,32,348,2,10.0,500.0,3.21,1.1,32.4,0
11.36,13,1,2,0,46,184,0,13.65,500.0,0.83,6.3,17.4,0
125.03,5,13,4,0,23,209,1,14.03,500.0,8.91,20.2,15.3,0
33.7,9,4,1,0,49,20,0,10.0,500.0,3.37,19.8,14.2,0
108.03,19,7,4,0,48,1202,1,20.42,500.0,5.29,8.5,27.4,0
8.4,2,17,6,1,62,341,1,10.0,500.0,0.84,11.9,53.1,0
70.65,10,22,2,0,55,1,3,10.0,500.0,7.06,0.1,14.6,0
28.26,19,6,1,0,47,151,2,10.22,500.0,2.77,14.0,30.0,0
36.36,11,3,6,1,33,293,2,14.34,500.0,2.54,0.6,19.8,0
50.29,13,10,4,0,32,1160,0,19.33,500.0,2.6,20.5,5.1,0
1.78,8,0,1,0,20,87,0,18.27,500.0,0.1,7.3,37.1,0
13.83,11,12,2,0,22,89,5,10.0,500.0,1.38,7.9,14.3,0
11.59,6,10,4,0,46,80,3,10.0,500.0,1.16,20.2,11.8,0
22.89,1,1,1,0,35,12,2,13.0,500.0,1.76,2.5,4.1,0
18.62,2,7,1,0,18,415,1,11.29,500.0,1.65,3.1,12.2,0
43.44,0,2,3,0,50,419,5,10.0,500.0,4.34,1.0,31.6,0
10.72,4,3,1,0,57,271,1,11.98,500.0,0.89,12.9,34.2,0
20.79,10,5,5,1,56,157,4,10.0,500.0,2.08,11.9,8.9,0
34.67,5,18,3,0,48,296,2,10.0,500.0,3.47,6.1,12.4,0
37.5,4,23,6,1,46,39,3,12.55,500.0,2.99,5.2,7.7,0
11.18,11,16,0,0,44,48,2,10.0,500.0,1.12,6.1,22.0,0
15.71,14,18,2,0,18,360,3,10.0,500.0,1.57,4.6,15.8,0
72.94,16,21,5,1,41,593,3,10.0,500.0,7.29,7.3,16.1,1
14.91,3,13,6,1,79,1172,0,37.67,500.0,0.4,12.6,43.5,0
2.48,9,5,2,0,43,69,2,14.24,500.0,0.17,2.7,23.9,0
18.65,8,7,0,0,62,77,4,11.28,500.0,1.65,28.4,4.1,0
30.28,1,19,3,0,43,348,3,22.38,500.0,1.35,16.3,18.1,0
85.94,0,16,1,0,42,511,1,27.74,500.0,3.1,25.4,16.9,0
30.99,11,11,0,0,38,118,2,10.0,500.0,3.1,22.7,24.9,0
44.94,4,4,0,0,46,368,1,10.0,500.0,4.49,10.5,32.2,0
8.09,19,19,5,1,54,124,1,10.0,500.0,0.81,18.8,11.5,0
5.99,18,4,0,0,23,241,0,10.0,500.0,0.6,5.4,12.1,0
33.28,7,22,1,0,51,154,1,26.34,500.0,1.26,5.2,6.8,0
376.01,6,14,2,0,42,34,3,10.0,500.0,37.6,32.8,4.9,0
154.41,1,23,4,0,61,113,0,78.36,1399.12,1.97,2.7,12.1,0
109.68,4,16,5,1,80,193,4,10.0,500.0,10.97,2.9,22.0,0
45.11,3,15,4,0,33,275,1,66.23,773.86,0.68,19.9,6.2,0
16.61,6,16,5,1,37,1,0,19.81,500.0,0.84,1.1,17.2,0
127.84,15,23,4,0,38,53,2,126.91,2309.79,1.01,16.5,35.5,0
121.99,10,8,6,1,47,73,2,10.0,500.0,12.2,16.2,8.9,0
15.05,10,11,3,0,33,92,2,10.0,500.0,1.5,4.4,35.7,0
6.27,12,5,1,0,18,937,3,30.18,500.0,0.21,43.2,13.5,0
17.03,2,23,4,0,51,45,1,10.0,500.0,1.7,6.5,5.1,0
29.14,8,14,6,1,47,244,0,10.0,500.0,2.91,11.4,9.8,0
6.5,18,21,4,0,30,236,2,43.33,541.58,0.15,3.1,6.4,0
5.63,3,22,6,1,32,310,2,10.0,500.0,0.56,14.0,23.1,0
16.42,2,19,1,0,49,1417,0,31.42,500.0,0.52,6.1,18.3,0
7.41,19,19,1,0,31,322,2,25.65,510.73,0.29,2.4,9.4,0
21.45,17,2,3,0,38,23,0,10.0,500.0,2.14,3.9,13.0,0
295.19,14,13,5,1,58,93,1,45.4,500.0,6.5,14.5,19.5,0
127.23,18,17,2,0,36,451,3,21.34,500.0,5.96,8.6,26.0,0
265.43,16,20,3,0,20,63,5,19.99,500.0,13.28,4.2,13.2,0
1.36,7,18,2,0,46,430,2,10.0,500.0,0.14,2.4,13.6,0
318.02,12,20,4,0,46,424,2,10.0,500.0,31.8,6.8,15.3,0
11.04,5,12,4,0,44,275,1,10.0,500.0,1.1,17.1,20.8,0
41.44,12,5,6,1,56,114,2,44.96,730.49,0.92,4.1,5.4,0
653.39,4,13,1,0,25,63,0,42.56,649.89,15.35,4.5,52.5,0
25.01,16,14,6,1,18,8,2,10.0,500.0,2.5,10.7,21.1,0
2.05,4,9,1,0,25,1206,3,20.38,500.0,0.1,28.6,12.1,0
1.44,9,3,4,0,24,55,5,10.0,500.0,0.14,6.2,36.3,0
20.07,12,14,6,1,72,70,3,10.0,500.0,2.01,22.8,32.0,0
3.56,6,5,6,1,38,44,5,25.49,500.0,0.14,18.3,20.5,0
13.54,14,8,2,0,41,389,0,15.72,500.0,0.86,14.6,56.2,0
24.28,11,22,3,0,47,558,3,10.0,500.0,2.43,0.8,12.2,0
40.04,10,0,5,1,25,463,0,10.0,500.0,4.0,5.2,14.7,0
14.99,18,20,5,1,40,139,3,10.44,500.0,1.44,9.5,15.2,0
174.55,8,1,6,1,76,117,3,46.63,765.42,3.74,6.9,51.4,0
18.34,9,0,4,0,44,237,3,10.0,500.0,1.83,1.2,11.5,0
23.68,8,17,3,0,18,42,2,10.0,500.0,2.37,8.6,8.7,0
14.44,19,16,1,0,59,227,1,11.81,500.0,1.22,5.6,40.1,0
26.99,14,14,1,0,43,174,1,19.79,500.0,1.36,6.7,5.3,0
36.62,10,7,4,0,57,28,1,10.0,500.0,3.66,15.2,25.7,0
32.77,17,1,2,0,51,437,3,19.93,500.0,1.64,16.5,51.1,0
9.62,2,10,2,0,71,287,3,18.25,500.0,0.53,43.2,25.2,0
83.45,4,19,6,1,33,294,2,18.67,500.0,4.47,2.1,24.5,0
1.0,18,20,4,0,37,187,2,10.1,500.0,0.1,3.0,8.0,0
9.32,6,21,4,0,65,130,2,10.39,500.0,0.9,5.3,14.9,0
147.85,14,0,4,0,60,493,4,10.0,500.0,14.78,5.1,5.6,0
118.28,14,12,6,1,36,328,1,20.22,500.0,5.85,4.0,25.4,0
17.14,16,15,0,0,36,25,3,32.14,500.0,0.53,2.5,22.1,0
4.17,2,23,1,0,18,575,1,63.01,732.28,0.07,6.6,27.7,0
7.4,19,5,6,1,52,436,4,21.14,500.0,0.35,9.4,41.5,0
8.69,3,19,6,1,55,117,1,12.02,500.0,0.72,51.9,12.2,0
3.61,5,1,5,1,48,897,4,109.48,1481.06,0.03,12.6,38.4,0
59.88,14,14,3,0,47,2160,2,10.0,500.0,5.99,8.4,16.5,0
19.8,3,2,6,1,69,287,3,10.0,500.0,1.98,5.5,51.4,0
184.16,5,23,6,1,44,190,3,19.21,500.0,9.59,5.1,13.6,0
2.76,16,19,3,0,18,1747,3,11.19,500.0,0.25,1.1,19.9,0
4.51,10,17,3,0,31,286,4,29.49,500.0,0.15,13.9,6.6,0
60.05,4,23,4,0,36,1736,2,10.0,500.0,6.0,14.5,50.0,0
331.89,19,11,2,0,24,27,2,10.0,500.0,33.19,7.2,24.6,0
3.47,6,1,4,0,39,101,3,36.89,500.0,0.09,10.0,29.0,0
24.12,11,6,2,0,30,275,1,10.41,500.0,2.32,11.5,10.1,0
6.67,1,16,3,0,72,23,1,10.0,500.0,0.67,4.5,10.8,0
1.93,19,9,1,0,39,230,4,15.14,500.0,0.13,5.5,27.2,0
6.28,5,15,2,0,38,1680,1,10.0,500.0,0.63,29.7,24.6,0
